,Company,Position
648,Delta Cygni Labs,"Co-Founder, CEO"
649,Dash Retail Consulting,CEO & Founder
650,Zetta Ampersand,Managing Director
651,Ericsson,"Head of Ericsson ONE Sweden hub - covering Europe, Middle East & Africa"
652,Invenco Oy (Ltd),Owner
653,Smarter Industry Sweden,Founder / CEO
654,Tosibox,CEO
655,Telenor Maritime,Chief Product Officer
656,TVM,Founder & CEO
657,TVM,Chief Innovation Officer
658,Twelve,Chief Executive Officer
659,Pint Please,Co-Founder
660,OptiWatti Oy,"Founder, CPO, CMB"
661,Proximi.io,CEO
662,TVM,Partner and Chief of Product
663,Swappie,Expansion
664,University of Eastern Finland (UEF),Project Manager
665,E.Öhman J:or Securities Finland Ltd,Senior Partner
666,New Nordic School,Chief Education Officer
667,Vahanen Group,CEO
668,KOULU Education Group Ltd.,Founder and CEO
669,Butterfly Ventures,Partner
670,AccomplishedRE,Founder | Coach
671,Fiksu Ruoka Oy (Smart Food Ltd),Chief Procurement Officer
672,Oura,CFO
673,Simeio Solutions,Board Director
674,Philips,Digital Selling and Engagement Manager
675,Business Finland,"Product Manager, MAP China"
676,"Medicum, Faculty of Medicine, University of Helsinki",University Researcher
677,Pentagon Design Oy,"Creative Director, CEO"
678,JumpCloud,CMO 
679,AirFaas SCM,Chairman Of The Board / Founder
680,MariaDB Corporation,Director Corporate Communications
681,Pohjoisranta BCW,"VP, Director"
682,Kesko - K-Group,Senior Communications Manager
683,Reaktor,Principal Consultant
684,Siili Solutions,Data Platforms Principal Consultant
685,Entrada Oy,Individual Contributor
686,Greenstep Oy,Senior Manager
687,Takoa Invest Oy,CFO and General Counsel
688,Juuri Partners Oy,Partner
689,MariaDB Corporation,Field Sales Executive
690,Amazon Web Services (AWS),"General Manager, AWS Backup and Data Protection Services"
691,Business Finland,Chief Adviser
692,Lahhentagge,"Co-Founder, Marketing"
693,World Financial Symposiums - London,Chairman
694,Rundit,Co-Founder & Head of sales
695,Tampere University,Associate Professor
696,FVCA - Pääomasijoittajat,Managing Director
697,IHS Markit,"Sales Director, Private Markets"
698,Canoe,"VP of Sales, EMEA"
699,Castrén & Snellman Attorneys Ltd.,Partner
700,Nostetta Ventures,"Partner, Controller"
701,Pia Laurila Oy,CEO and owner
702,Vainu,"Customer Solutions, Partner"
703,Tekir Oy,Managing Director
704,Basware,Vice Chairman Of The Board
705,Timma,"Co Founder, Chief Strategy Officer"
706,Timma,CEO
707,Timma,Co-Founder & COO
708,Wolt,Expansion Manager
709,The 280 Company,Co-Founder & CEO
710,EQT Partners/EQT AB,Director
711,Limelight,Co Founder & Chief Revenue Officer 
712,Kaiku Health,CEO and Founder
713,Happeo,"CEO, Co-founder"
714,KPMG Finland,"Head of Legal Services, Partner"
715,Business Finland,Senior Adviser
716,Heatmasters - The wizards of metal,"Board Member, Responsible of Panostaja's Heatmasters investment"
717,Veikkaus Oy,Legal Counsel
718, -,Free agent
719,Pentagon Design,Lead Design Consultant
720,Nordic Option Oy,CEO
721,Experia Corporate Finance Advisors,M&A Director Technology
722,ePassi Payments,Chief Operating Officer
723,Frost & Sullivan,Director Strategic Partnerships
724,MaaS Global Ltd,Chief Corporate Development Officer
725,VTT,"Co-creation Manager, Circular Economy"
726,KPMG Finland,Partner- Global Strategy Group
727,Nightingale Health Oy,CEO
728,Nightingale Health Ltd.,"COO, Co-founder"
729,Borenius Attorneys Ltd,"Partner, LL.D."
730,Risutec,"Board Member, Deputy Managing Director"
731,Hatch Entertainment Ltd,CFO
732,Ruukki Construction,"Vice President, R&D"
733,Virta Growth Partners Oy,"Co-founder, CEO"
734,Intera Partners,Investment Professional
735,Intera Partners,Partner
736,CleanTech Capital Advisors,Managing Partner & Founder
737,Frank Students,CEO
738,AppGyver Inc.,Founder & CEO
739,IndoorAtlas Inc,CEO
740,The Upright Project,Data & Code (Full-stack Web Developer)
741,Meru Health,"VP of Partnerships, Europe"
742,Firstbeat Technologies Ltd,"CEO, co-founder"
743,MaaS Global Ltd,Chairman Of The Executive Board
744,Balandor,"Change Agent, Founder & CEO"
745,Mobidiag,Director Business Development
746,,CEO
747,TRUMPF,Managing Director 
748,Cocomms Oy Ltd,Communications Planner
749,Neste,Service Owner
750,ELERS MEDICAL,Chief Motivator
751,Accelerando,"Partner, Senior Advisor"
752,Stora Enso,"Sales Manager, Tags"
753,Tecnomar Oy,Owner
754,Walki Group,President and CEO
755,Comiq,Experienced Business Manager
756,N.RICH,COO
757,GreenMorrow,Chairman Of The Board
758,Mubadala,"Partner, Mubadala Ventures Europe"
759,Astralis Group,Chairman Of The Board
760,VIISAS Communications,Owner
761,CX Academy,Head Coach
762,Sauna from Finland,"Hallituksen puheenjohtaja, sauna-auditoija"
763,Spintop Ventures,Partner and Co-Founder
764,Tesi (FII) ,Investment Director
765,ArcticStartup,CEO
766,Hatch Entertainment Ltd.,Chief Executive Officer & Founder
767,Good Growth Capital,Managing Partner
768,Telia Inmics-Nebula,Product Manager
769,Valmet Technologies Oy,Project Manager
770,"Oikeusministeriö - Justitieministeriet - Ministry of Justice, Finland",legal specialist
771,Crowell & Moring LLP,Partner
772,ATRA Innovations,Co-Founder and angel investor
773,Columbia Road,Partner / Senior Growth & Digital Sales Consultant
774,Kreos Capital,General Partner
775,ScaleUp Valley,Founder & CEO
776,Vainu.io,Co-founder
777,TBWA\Helsinki,Comms Strategist
778,Varjo,Head of Growth Marketing
779,Red Hat,"Hybrid Cloud Sales - OpenShift, Kafka, Microservices tools"
780,MariaDB Corporation,CEO
781,Klevu Oy,CEO and Co-Founder
782,Aplicom Oy,Investor
783,Spectral Engines Oy,"CTO, Co-Founder"
784,Wellmo - Mobile Wellness Solutions MWS Oy,Founder and CEO
785,Quotient Technology Inc.,President
786,Runa Capital,Managing Partner
787,Utopia Analytics Oy,"CEO, Co-founder"
788,California Technology Ventures,Founding Managing Director
789,MariaDB Foundation,CEO
790,Liquibase,CEO
791,MetGen,R&D Director
792,RELEX Solutions,Site Reliability Engineer Team Lead
793,KPMG Finland,Director
794,Utopia Analytics Oy,Chair of Board
795,,
796,LNGTainer Ltd,Managing Director
797,Grannenfelt Finance Oy,Partner
798,Jatkopala,Founder
799,Tulikivi Oyj,Member Board of Directors and Chairman of the Audit Comitee
800,JS Consulting,Tech Lead - IT Consultant - Owner
801,Various Companies,Business Consultant
802,Steripolar Finland (Head Office),Chief Financial Officer
803,Silo AI,VP Business Development and Sales
804,Finnish Industry Investment Ltd (Suomen Teollisuussijoitus Oy),Investment Director
805,Ideointitoimisto EMP,Acting CEO
806,Wibax Tank Oy,Managing Director
807,giosg.com,Chief Operating Officer
808,Umbra,Founder & CEO
809,AUSY Switzerland AG,Principal Consultant
810,Kinetik Oy,CEO
811,Karma Ventures,Principal
812,City of New York,"NYC Retirement Systems, Senior Investment Officer - Private Equity"
813,Idean,"Chief Client Officer, Co-Founder"
814,Parliament of Finland,Member of Parliament
815,B2B Asiakaskokemus,Book Author
816,EBAN - European Business Angels Network,President
817,Digia Plc,Sales Executive
818,Business Finland,Senior Advisor
819,Korpi ForRest,"Founder, Chief Scientific Officer"
820,Invest in Finland,"Manager, Market Intelligence"
821,Bocap Group,Founding Partner
822,Freska,Co-Founder & Group Chief Executive Officer @Freska | We are hiring!
823,Quuppa,"CEO, Co-founder"
824,Dispelix Oy,CEO
825,Korona Invest,"Partner, Investment Director"
826,RapidCompact by DGG,"Vice President, Global Business"
827,Green Net Finland,Board Member
828,"Fuji Television Kids Entertainment, Inc.",Account Manager
829,Beweship Oy Ab,Financial Assistant
830,OP Financial Group,"Product Owner, Digital Platforms"
831,Megical,Founder & CEO
832,Megical,CFO/COO
833,Lyfta,Country Director (Finland)
834,"Roschier, Attorneys Ltd.","Partner, Head of Digitalization & TMT and Outsourcing"
835,Castrén & Snellman,Senior Associate
836,National University of Singapore,Entrepreneur In Residence
837,Steerpath Oy,CEO
838,Filo,Senior Engineer at Filo
839,Sales Vision Oy,Senior Advisor
840,in4mo Oy,"Director, Customer Delivery Operations"
841,Bird & Bird,Partner
842,Vainu.io,Head of Finance
843,Blidz,Co-founder/CEO - Blidz
844,Vainu.io,Co-founder
845,"Ontario Ministry of Economic Development, Job Creation and Trade",Senior Program Advisor
846,Stella Capital,Managing Partner
847,OP Financial Group,Project Coordinator
848,UpCloud,CEO
849,Finnish Minerals Group,Investment Director
850,Fluent Progress RT Ltd,"Member of the board, owner"
851,Nordea Bank,Nordea Personal Banking People Business Partner
852,askme Partners,Founder and Partner
853,ThirdPresence,CEO
854,Thirdpresence,Chief Operating Officer
855,PwC,Senior Manager
856,Vere,CEO | Founding Partner | Business Designer
857,Helmet Capital,Partner
858,Oy Kaha Ab,Field Manager
859,USC Oy,Chairman Of The Board
860,Huld,Vice President Strategy
861,Makerspoint Oy,CEO
862,Suomen Yrittäjät ry,Reporter and content producer
863,Grannenfelt Finance Oy,Partner
864,Seeking a new position in finance and accounting functions,MBA
865,Marc Oy,CEO and Founder
866,OnCorps,Founder and CEO
867,MetGen,CFO
868,NorthBase,Founder
869,MariaDB,Principal Sales Engineer
870,Vendep Capital,Investment Director
871,Avance Attorneys,Partner
872,MetGen Oy,Sales Director
873,Sofinnova Partners,"Partner, Industrial Biotechnology"
874,MetGen,Chief Operating Officer
875,Emerald Technology Ventures,Investment Director
876,Finnair,Cabin Crew at Finnair
877,Finnish Industry Investment Ltd,Financial Manager
878,Avance Attorneys,Partner
879,Fundu,"COO, Fundu"
880,Executive Advisor,Executive Advisor
881,Saari Partners Oy,Founding Partner
882,University of Eastern Finland,Professor
883,Ministry of Employment and the Economy (Finland),Director General
884,Profit Software Ltd,Chief Financial Officer
885,Oy Veblen Glazer Ab,Principal Owner
886,University of Vaasa,International Education Specialist
887,Santraine Consulting Oy,Management Consultant / Open Banking / Fintech projects
888,High Alpha,Head Of Partnerships
889,Orion Corporation,Laboratory Technician
890,Spinverse,Principal Consultant
891,VIA equity,Partner
892,Profit Software Ltd,CEO
893,Quuppa,Executive Business Development Australia and NZ
894,OP Financial Group,Insurance Agent
895,Accountor Suomi,Service Manager
896,Creovista Ventures,"Managing Partner, Founder"
897,OptoFidelity,Executive Board Member
898,Coworkkeri Oy,Chief Executive Officer
899,Converta Oy,"CEO, Founder"
900,Helsingin Op Pankki Oyj,Senior account director / Asiakkuusjohtaja
901,Smartbi,CEO
902,Helsingin kaupunki – Helsingfors stad – City of Helsinki,City Geodesist at City of Helsinki (Helsingin kaupungingeodeetti)
903,Nanocomp Oy Ltd.,CEO & co-founder
904,Finnish Industry Investment Ltd,Investment Director
905,Tesi (FII) ,Middle Office Manager
906,Optomed Plc,Owner and CEO
907,Supermetrics,Sales Executive
908,Tesi (FII),Communications Director
909,Finanssivalvonta - Finnish Financial Supervisory Authority,Banking Supervisor
910,WRCC Advisers,Entrepreneur and Investor
911,Kanvas Digital,CEO | Founder
912,Greenstep Oy,Manager
913,Ownership Steering Department at the Prime Minister's Office,Director General
914,"Kasha Global, Inc.",Director of Finance
915,True.,Partner
916,Finnish Industry Investment Ltd,Investment Director
917,Tesi (FII),Investment Manager
918,Matillion,Chief Financial Officer
919,Tesi (FII) ,Investment Director
920,Finnish Industry Investment Ltd,Assistant
921,OpenOcean,Senior Associate
922,Kameleonten Ab,Chairman Of The Board
923,Finnish Industry Investment Ltd,"Director, Head of HR, Legal and Compliance"
924,Finnish Industry Investment Ltd,Human Resources Coordinator
925,Bain & Company,Management Consultant
926,Hallituspartnerit Helsinki,Partner
927,Tesi (Finnish Industry Investment),Investment Director
928,MetGen,Managing Director
929,Sievi Capital Oyj,CFO
930,Optomed Plc,Solution Sales Director
931,CapMan,IT Program Manager
932,A-lehdet Oy,Board Member
933,NCC,Media Relations Manager
934,Finnish Industry Investment Ltd,Investment Management Specialist
935,Elo,Investment Management Coordinator
936,Roust,Senior Key Account Manager Global Travel Retail
937,Kanssamatkaaja,"Coach, Trainer, NLP Trainer, Project manager, Entrepreneur"
938,Eero Therapeutics,Customer Development
939,Tekes,Director
940,Frogmind,CEO / Coder / Co-founder
941,Tridify Ltd,Marketing Coordinator
942,"Aion Sigma, Inc.",Founder
943,MB Funds,Partner
944,Beaumont Enterprise,Staff Photographer
945,ngp capital,Partner
946,Delaney Radiology,Pediatric radiologist
947,Nordea,Senior Relationship Manager
948,Leica Geosystems,Senior Manager
949,"FIT-One Holdings, Inc.",Owner
950,CWC Nippon,CEO
951,Fintrade-Mercer Group,Owner
952,AOC Innovation,Associate
953,Attorneys at law Borenius Ltd,Partner
954,Swap.com Services Oy,Advisor
955,Foudia ,Chairman Of The Board
956,Innovestor,Managing Partner at Innovestor Ventures Ltd
957,CubiCasa,"CEO, Founder"
958,Visa,"Manager, Consulting & Analytics"
959,Intel Corporation,"Account Executive, North European CSPs"
960,Aalto University,Head of IT Platforms and Development
961,Dodreams Ltd.,People & Comms
962,Neurocenter Finland,"R&D, Innovation, neuroscience specialist (Neuroscience and innovation competitor)"
963,Zaibatsu Interactive,CEO & Co-Founder
964,Colossal Order,CEO
965,Koukoi Games,"CEO, Co-founder & Executive Producer"
966,Nasdaq,"Senior Managing Director, Global Listing Services"
967,OP Corporate Bank plc (former Pohjola Bank plc),Client Executive
968,Business Finland,"Head of Industry, ICT and Digitalisation"
969,THJ Business Consultants Oy,Company Owner
970,Sisua_Digital,Process Automation Solution Sales
971,Business Finland,Ecosystem Lead
972,Tekes,Programme Manager
973,Seriously Digital Entertainment,Senior Vice President Finance
974,"Intelliswift Software, Inc.","Director, Pharma Solutions"
975,Jomix Oy,CEO and Owner
976,Desenio AB,Board Member
977,Admincontrol Finland,Country Manager
978,Likeit Nepton Group Oy,Member of the Board
979,Rite Ventures,Managing Partner
980,UPM - The Biofore Company,"Vice President, Communications and Brand"
981,Level-Up,Managing Partner
982,ST Private Equity Oy,Founder & CEO
983,Sanoma Media Finland,Senior Analyst
984,Aalto University,Postdoctoral Researcher
985,Standout Capital,Partner
986,Cliff Studios LLC,Photographer
987,Verizon Media,Member of Global Advisory Board
988,Mattel163,CEO 
989,Tampere University,Senior Research Fellow
990,Dazzle Interactive/China Telecom,Senior Business Development Manager
991,Helsingin Sanomat,Journalist
992,MyGamez Ltd.,"CEO, Co-Founder"
993,Mindler AB,Board Member
994,OSRAM,Senior Strategic Project Manager
995,Stifel Financial Corp.,"Managing Director, Head of Europe - Global Technology Group - Investment Banking"
996,Markkinointijohdon ryhmä ry,"Toiminnanjohtaja, Executive Director"
997,Hillside School Foundation,Founder
998,AXW Digital,"Advisor, Partner"
999,Business Finland,Director for Funding
1000,MOBIS Ventures,Managing Director
1001,,
1002,Leadfeeder,Founder and CEO
1003,M-Brain Oy,Member of the Board | Owner | Founder
1004,COMUNIDAD VALENCIANA,Director de proyectos y atracción de empresas en Distrito Digital de la Comunidad Valenciana
1005,DNA Oyj,Director Of Business Development
1006,Business Finland,CRM Lead
1007,GCA Altium,Managing Director
1008,Wellflix Suomi,Toimitusjohtaja
1009,Yetitablet,"BU Director, Yetitablet and Co-founder"
1010,Actus Advisors,Partner
1011,Rudolf Helsinki,Partner & Creative Producer
1012,Trainers' House,"Director, Learning & Change Consultant, "
1013,HMD Global,Legal Trainee
1014,Amara Collaboration,"Marketing, communication and administration"
1015,M&A Technologies Ltd,Owner
1016,Tridify Limited,VP of Sales
1017,Marwe Oy,Managing Director
1018,"Centre for Economic Development, Transport and the Environment",Director
1019,Lemonsoft Oy,Director of Product Management
1020,,
1021,CityFamily.com,Group CEO
1022,Futurice,Business Director
1023,Sportspot Oy - The biggest influencers in sports,Chief Creative Officer (CCO)
1024,OP Financial Group,"Head of Development and Technologies, Member of the Executive Board"
1025,LinkedIn,LinkedIn Veteran
1026,Finnvera Oyj,Financing Manager
1027,Percussio Oy,"Partner , CEO"
1028,IndoorAtlas,Co Founder
1029,Embassy of Finland,"Trade Counsellor, Team Finland, Business Finland"
1030,Greenstep Oy,Chairman of the board
1031,Nurmon Aurinko Oy,Chairman
1032,Initial Capital,Partner & Co-founder
1033,Quuppa,Board Member
1034,M&M Growth Partners,Partner
1035,Comiq,CEO
1036,Sparkmind.vc,Partner
1037,Pine Capital,Owner
1038,CIBC,"Senior Manager, BBSS "
1039,VTT,"Solution Sales Lead, Cognitive Production Industry Research Area"
1040,ヤフー株式会社,Chief Data Officer (CDO) at Yahoo! JAPAN
1041,Finnvera Oyj,Credit Analyst
1042,Osuuskunta KPY,Chief Executive Officer
1043,Happi Partners,Founding Partner
1044,Verdane,Partner
1045,Verdane,Investment Professional
1046,Icebreaker.vc,General Partner
1047,Integrated Healthcare Design Oy,Chairman of the Board
1048,Valkee Oy,CEO & Member of the Board
1049,shopkick,Member of the Board
1050,Ari Nyberg,Open to new opportunities and challenges 
1051,Enfo,Board Member
1052,Solita,Business Designer
1053,Uudenmaan liitto,Business Development Manager
1054,"Embassy of Finland, Riyadh",Ambassador
1055,"Pipl, inc.",Chief Revenue Officer
1056,OP Financial Group,Equity Analyst
1057,Bridge Alliance,Director Board Of Directors
1058,atcarta,CEO & Co-founder
1059,MOPRIM Ltd.,Executive Chairman
1060,Wärtsilä Voyage,Director IoT Data
1061,Aalto University School of Business,Professor of Practice
1062,Kopla Games,"CEO, Co-founder"
1063,Digital Workforce Services Ltd,"Partner, Co-Founder"
1064,Arctic Growth Ltd,Chairman Of The Board and owner
1065,Kajaanin ammattikorkeakoulu Oy,Project Manager
1066,Heart Medicine,Independent Business Owner
1067,Financial Service Centre,Customer Relationship Manager
1068,Wiztivi Gaming,COO
1069,Camera Ready Cosmetics,Owner
1070,Aurea Software,Senior Vice President Sales
1071,Entrepreneur,"Experienced leader, Corporate Finance / M&A"
1072,Pareto Securities,Principal
1073,Pinpoint Partners,Consultant
1074,Terveystalo,"Project Manager, Strategy & Transformation"
1075,CORPI - Technology and Business Designer,Chief Executive Officer & Founder
1076,Sijoittaja.fi / Investment Intelligence Oy,"Founder, Head of Board"
1077,Impact Cryotherapy,Chief Executive Officer
1078,Avili,Partner
1079,Abundant Venture Partners,Member Management and Investment Committees
1080,Fung Capital,Partner
1081,Alibaba Group,Business Intelligence Manager
1082,The Elsa Miller Foundation,Executive Director
1083,Sente Foundry,Founder
1084,Blok Enterprises,Co-Founder & CEO
1085,"(ELY) Centre for Economic Development, Transport and Environment",Head of Unit
1086,Wolt,Co-founder & CEO
1087,Unacast,CEO & Co-founder
1088,Verkkokauppa.com Oyj,Legal Counsel
1089,Finnvera Oyj,IT Group Manager
1090,Yonoton Oy,"Co-Founder, CTO"
1091,Self-employed,"health&wellbeing expert retired from Business Finland, free to do almost anything I want"
1092,Google,Product Lead - Google Lens
1093,Siili Solutions,"Chairman Of The Board (since 1.1.2018, previously Board Member)"
1094,Business Finland,"Chief adviser, growth companies"
1095,SenSource Inc.,"President, CEO"
1096,Neverthink,Co-Founder
1097,"InvenSense, Inc.","VP, Systems & Software"
1098,"Airspace Link, Inc.","Co-Founder, President & CEO"
1099,Finnvera Oyj,System Manager
1100,Red Badger,"Executive Director, Commercial "
1101,Ergeon,Investor
1102,Howspace,Customer Success Concept Owner
1103,Microsoft,Program Manager (Cloud PM) 
1104,TrueMed,Chief Science Officer
1105,ROI Financial Technologies,Founder / CEO
1106,ALTEN Finland,Business Manager
1107,Finger Group Ltd,Chief Executive Officer
1108,Airbnb,"Airbnb author, Real Estate expert & Superhost"
1109,Ellun Kanat,"Director, Partnerships and Innovations"
1110,Proxy • Venture capital creatives,Founding Partner
1111,Playmore Games Inc.,"CEO, Co-Founder"
1112,EnergySpin - Energy Solutions Business Accelerator,Operations
1113,Finnish Business Angels Network (FiBAN),Networking
1114,Nordic Business Forum,Co-Founder & Chairman
1115,HappyOrNot Ltd.,Investor / Board Member
1116,ByteDance,Strategy and Investment
1117,Finsight,Founder & CEO
1118,Future Partners Oy,Financial Advisor
1119,Vulcan Vision Corporation,Founder and Chairman
1120,LHM Hakkuri Oy,Manager
1121,Cozify Oy,CEO
1122,Puro.earth CO2 removal marketplace,Co-Founder
1123,Takoa Growth Oy,Chief Executive Officer
1124,CLean Contract Oy,CEO/Owner
1125,Value Group Ltd,Chief Value Officer and Founder
1126,Krogerus Attorneys Ltd,Partner
1127,Kojamo Plc,Chief Digital Officer (CDO) 
1128,Nasdaq,Chairman Of The Board
1129,Dolby Laboratories,"Vice President, Developer Experience"
1130,Caldic Finland Oy,Managing Director
1131,Nosto,HR Business Partner
1132,Epic Games,Director of Product Experience
1133,Directorbank,Research Consultant
1134,Agency Advisors and Services Oy,Founding Partner
1135,Työ- ja elinkeinoministeriö– Ministry of Economic Affairs and Employment (Finland),Director Of Communications
1136,Capman Wealth Services Ltd (former JAM Advisors),Managing Partner
1137,Magnolia Ventures,Managing Partner
1138,Miston Oy,Partner and Board Member
1139,colead oy,Partner
1140,Self-employed,"CEO, Investor, consultant"
1141,Ventiga Capital Partners LLP,"Co-Founder, Managing Partner"
1142,Amadeus Finland Oy,"Director, Business Travel"
1143,PwC Finland,"Industry Lead, Industrial Products"
1144,VividWorks,"CCO, Global Partner Sales"
1145,SagaSocial,CEO & communications consultant
1146,Vasset Oy,Managing Director
1147,One1 Oy,CEO
1148,FläktGroup,Project Manager
1149,MotionVolt Games Ltd,"Founder, CEO & Game Developer"
1150,Salesforce,Senior Enterprise Account Executive
1151,Almi Greentech,Board member 
1152,VPSolutio,Dr
1153,Post Control Helsinki,Head of Interntional Sales
1154,Ubisoft RedLynx,Managing Director
1155,Fullsteam Agency,Managing Director
1156,Finnvera Oyj,Senior Adviser
1157,Finnvera Oyj,IT group manager
1158,Oppiva Invest Oy,Managing Director
1159,Finnvera Oyj,"Head of Executive Assistant team, Office services and facilities "
1160,STR Tecoil Oy,Chairman
1161,Veikko Laine Oy,Chief Investment Officer
1162,Finnvera Oyj,Specialist
1163,Finnvera Oyj,Finance Manager
1164,Finnvera Oyj,Senior Compliance Officer
1165,Finnvera Oyj,"Senior Vice President, CFO"
1166,Comatec Group,Director Sales and Business Development
1167,Business Finland,Senior Advisor / Coach
1168,alphachat.ai,Co-Founder
1169,CJ Studio,Partner
1170,Oivan,"Partner & Co-Founder, Chairman of the Board"
1171,Greenstep Oy,Partner
1172,Nurmiranta Holdings Oy,Owner and CEO
1173,Telia Finland,"Director, 5G program"
1174,Finnvera Oyj,Finance manager
1175,True Routa,Chairman & Founder at True Routa
1176,BrandBastion,CEO & Founder
1177,Business Finland,"Senior Director, Fast Growth Advisory Services"
1178,Business Finland,Chief Adviser
1179,Business Finland,Senior Adviser
1180,Business Finland,Senior Adviser
1181,BeSpoon,Head Of Sales
1182,University of Vaasa,"Senior Specialist, Venturing and Innovation"
1183,BusinessOulu,Senior Business Advisor
1184,Breaks Finland,Chief Creative Officer
1185,University of Helsinki,"Senior Manager, Global Corporate Relations I Innovation, Industry Collab. & Strategic Partnerships"
1186,Shark Punch,"Co-Founder, CTO"
1187,XIM,Sales and Business Development Executive
1188,Glu Mobile,Senior Product Marketing Manager
1189,Aiven,VP Sales Operations
1190,MegaZebra,CEO / Co-founder
1191,NVIDIA,Content Manager
1192,Hedengren Security ,Solution Manager
1193,The Fabric,Head Of Marketing
1194,Confederation of Finnish Industries EK,"Communications Officer, Media relations"
1195,Business Finland,Financial Controller
1196,Siemens Digital Industries Software,"Account Technology Manager, 5G Solutions"
1197,School of Gaming,Chief Technology Officer
1198,Avidly,Chief Creative Officer (CCO)
1199,Smartmile,Co-founder and CEO
1200,Coventures,"Entrepreneur In Residence, Partner"
1201,IndoorAtlas Inc,HR and Finance Manager
1202,BaltCap,Partner
1203,MyData Global Network,Founding Member
1204,Nitor,Chief Executive Officer
1205,Lecklé Oy,"Entrepreneur, CEO, Legal and Tax Advisor"
1206,KPMG Oy Ab,Director - Deal Advisory
1207,Trailmaker Oy,"Partner, Business Director"
1208,Apple,Apple
1209,Kiipeilyurheilijat Ry,Kiipeilyohjaaja (Juniorit)
1210,Tekes,"Development manager, Networking businesses and research"
1211,Dustin,Service Manager
1212,Qualcomm Ventures,Investment Director
1213,SOK,SVP Groceries & Consumer Goods Sourcing
1214,PNI Corporation,CEO & President
1215,IBM,Retail Client Executive
1216,EY,"Partner, Head of Consulting"
1217,SOK,Senior Vice President
1218,Upknowledge,"Founder, COB"
1219,Goodio,CEO & Founder (Goodio USA)
1220,Haltian Ltd,Head of Technology
1221,Tieto,"CTO, Customer Experience Management"
1222,SportIQ,"Chief Financial Officer, Board Member"
1223,Alliance Venture,Partner
1224,Cirrus Logic,VP Sales Major Accounts
1225,Publicis Sapient,Client Impact
1226,Microsoft,Services Account Executive
1227,La Mia Energia,Managing Director
1228,Greenstep Oy,Partner CFO Services
1229,Statistics Sweden,Ordförande i Användarrådet för miljö och miljöräkenskaperna
1230,Parking Energy Ltd,Advisor
1231,Tridify Ltd.,CTO
1232,Telia Company,"Commercial Product Manager, CX Products & Consulting"
1233,Wipro Limited,Global Head - HPE Alliances
1234,Miltton,"Director, Head of International Business"
1235,Cognituner Oy,Chief Executive Officer
1236,Viking Venture,"Partner, Board Member and Owner"
1237,Resistance Games,"Founder, Chairman of the Board and Creative Director"
1238,eCraft Oy Ab,Customer Success
1239,Batman (1989) Live in Concert,Guest Conductor
1240,Midaxo,CEO
1241,Vendep Capital,General Partner
1242,Ministry of Economic Affairs and Employment (Finland),Under-Secretary of State
1243,Quicksave Interactive,"CEO, co-founder"
1244,Kasvuryhmä,Member
1245,Amazon Web Services (AWS),Senior Venture Capital Business Development Manager
1246,NurseBuddy - Home Care Management Software,CEO & Co-Founder
1247,Psyon Games,CEO
1248,"Aalto University School of Business, Small Business Center",Research director
1249,University of Oulu,Innovation manager
1250,PHM / Kotikatu,Board Member
1251,"Stage 1 Ventures, LLC",Partner
1252,Herodotus Holdings,Managing Member
1253,Vitruvian Partners,Special Partner - Travel and Technology
1254,IndoorAtlas Inc,Business Development Director 
1255,Nordic Business Forum,Partner
1256,Firma International Ltd,Partner
1257,Wallstreet Private Equity,Investment Manager
1258,Valuatum Ltd.,"Owner, CEO"
1259,Klevu Oy,Investor
1260,Korkia,Group CEO
1261,Larzon Capital,Founder and CEO
1262,Business Finland,Funding advisor
1263,Sophrolite Oy,Entrepreneur & Founder - helping companies to grow and enter new markets
1264,Business Finland,Senior Advisor
1265,"GrowthPoint Technology Partners, LLC",Managing Director
1266,East – Bulgarian-Finnish Technology Expertise,CEO
1267,rAivo Oy,CEO
1268,Business Finland Venture Capital Ltd,Managing Director
1269,UPPERCASE Brands,Co-Founder and CTO
1270,Private,Games & technology industry 
1271,Business Finland,"Program Director, Sustainable Manufacturing"
1272,Business Finland,"Senior Director, Industry & Accounts, Consumer & Health"
1273,Business Finland,Senior HR Business Partner
1274,Tekes/Embassy of Finland in Brussels,"Counsellor, Research and Innovation"
1275,Finnvera Plc/Venture Capital,Lawyer
1276,Roche,Global Marketing Manager
1277,KONE,"Director, Asia Pacific New Elevator Business"
1278,FIM,"Director, Private Equity Investments"
1279,Corum Group ltd,International Market Development
1280,Enfo,General Counsel
1281,MIT Enterprise Forum Cambridge,Board Member
1282,Freelancer,Finnish Language Teacher & Translator | Finnish Teaching | Translation
1283,AXO-Service Oy,Owner
1284,KONE,Global Marketing Data Analytics
1285,Sniffie Software Oy,CEO / Co-Founder
1286,AVUXI,Founder & CEO
1287,International Game Developers Association (IGDA®),Chapter Leader - IGDA Sweden
1288,Trailmaker Oy,Managing Partner
1289,True Routa,CEO & Founder
1290,Maki.vc,Partner
1291,Helsingin Sanomat,Business Journalist in Helsingin Sanomat Visio
1292,Alvarez & Marsal,Managing Director
1293,Tulikivi Oyj,Chair Of The Board Of Directors
1294,Business Finland,Funding Manager
1295,Rehaboo! #PhysiotherapyGamified,"Sensei, CEO"
1296,Appjobs.com,Co-founder & Board member
1297,Cronstedt & Rosenlew,Partner
1298,Taaleri,Director Of Client Relations
